#{"t_start": 1779724689.290449, "env_id": "PandaPush-v3"}
r,l,t
-0.025829,1,552.057943
-3.092998,50,556.521208
-3.037837,50,557.564136
-4.993229,50,558.673104
-4.780012,50,559.718731
-6.540843,50,560.7895
-5.205749,50,561.868105
-4.172606,50,562.928542
-4.325562,50,564.030965
-2.732533,50,565.062891
-4.735376,50,566.106686
-4.171466,50,567.155237
-6.68588,50,568.240579
-4.778475,50,569.318969
-3.437067,50,570.393106
-3.076665,50,571.456836
-4.586928,50,572.511737
-5.254045,50,573.526109
-6.624849,50,574.569419
-3.369469,50,575.624918
-4.002868,50,576.694871
-0.044718,1,576.72103
-6.389918,50,577.820575
-4.419477,50,578.893623
-2.532935,50,579.932157
-4.027571,50,580.982416
-2.706268,50,582.01335
-4.372206,50,583.114879
-0.023175,1,583.145051
-2.82599,50,584.244978
-2.548573,50,585.31865
-4.787621,50,586.399561
-3.407553,50,587.450905
-4.87858,50,588.490762
-4.469785,50,589.5467
-5.637335,50,590.60571
-4.949132,50,591.65526
-3.177424,50,592.704819
-0.009196,1,592.726997
-0.02817,1,592.757164
-5.308625,50,593.792848
-3.178436,50,594.81936
-3.865786,50,595.862992
-3.693184,50,596.904576
-6.073449,50,597.981271
-2.873317,50,599.035561
-3.630663,50,600.069281
-0.015018,1,600.089991
-4.186514,50,601.143986
-5.085294,50,602.166299
-3.725353,50,603.200746
-4.766639,50,604.268619
-4.722145,50,605.350678
-2.858651,50,606.398804
-0.039357,1,606.418963
-2.579174,50,607.480438
-4.987129,50,608.590104
-4.70024,50,609.736927
-6.063158,50,610.800136
-5.330696,50,611.836756
-6.625694,50,612.886319
-4.322487,50,613.917825
-0.047526,1,613.938634
-5.141512,50,615.009869
-0.028356,1,615.042535
-6.503575,50,616.083031
-4.291663,50,617.13176
-4.524942,50,618.201431
-4.75007,50,619.26873
-2.745303,50,620.319405
-4.781739,50,621.357768
-4.214936,50,622.408472
-0.0313,1,622.449174
-0.047197,1,622.471325
-3.935386,50,623.535773
-4.085381,50,624.58598
-3.600768,50,625.726166
-3.636448,50,626.83608
-3.577223,50,627.844936
-5.728318,50,628.889663
-3.618382,50,629.971347
-3.959903,50,631.034204
-3.843678,50,632.083383
-0.034519,1,632.103639
-3.86066,50,633.186483
-4.181872,50,634.438132
-3.965982,50,635.47425
-3.155025,50,636.51075
-5.018726,50,637.560286
-0.045245,1,637.580504
-3.245555,50,638.672152
-4.604015,50,639.668765
-4.555085,50,640.739467
-3.801974,50,641.772436
-0.034647,1,641.792492
-4.727463,50,642.834451
-5.600302,50,643.913362
-6.212532,50,644.955647
-3.971153,50,646.031587
-2.507816,50,647.10391
-5.036874,50,648.159276
-2.873155,50,649.197675
-4.609722,50,650.285576
-4.24074,50,651.368581
-4.414492,50,652.451378
-0.022186,1,652.47056
-4.269788,50,653.541717
-2.666841,50,654.576315
-6.569638,50,655.603069
-4.964772,50,656.632551
-5.062807,50,657.710599
-6.374086,50,658.790752
-4.695261,50,659.868035
-3.565185,50,660.921729
-3.485561,50,661.99462
-4.696314,50,663.081375
-3.34399,50,664.144767
-6.428814,50,665.188392
-4.45432,50,666.245909
-4.548616,50,667.277437
-5.397421,50,668.312909
-3.759574,50,669.365183
-0.022317,1,669.38537
-3.923819,50,670.434367
-0.040331,1,670.462674
-4.36816,50,671.536588
-4.705617,50,672.571215
-5.45803,50,673.856052
-3.395229,50,674.919027
-0.047379,1,674.938975
-4.943015,50,675.967445
-3.584461,50,676.983281
-3.58309,50,678.037497
-3.198871,50,679.061065
-3.048624,50,680.118827
-0.047462,1,680.145839
-3.107863,50,681.190506
-2.942442,50,682.235777
-4.030204,50,683.358642
-4.308028,50,684.499652
-5.377085,50,685.566291
-5.573873,50,686.573221
-4.736954,50,687.611399
-4.448411,50,688.657552
-6.854145,50,689.74005
-0.011988,1,689.760347
-5.293349,50,690.857242
-6.030205,50,691.915284
-3.334596,50,692.96613
-4.813988,50,694.026891
-3.096793,50,695.10461
-4.366249,50,696.148254
-4.942244,50,697.206503
-2.648465,50,698.252144
-3.17478,50,699.333297
-0.029345,1,699.353623
-3.595496,50,700.396037
-3.67358,50,701.499972
-4.635972,50,702.531964
-6.426173,50,703.571399
-3.44868,50,704.661963
-2.503982,50,705.693825
-0.041861,1,705.713773
-5.604744,50,706.768944
-0.015408,1,706.807163
-0.015762,1,706.832345
-0.044382,1,706.853538
-5.169528,50,707.892406
-3.949292,50,708.968666
